"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (EUR)","Unique link clicks","Unique CTR (link click-through rate)","CPC (cost per link click) (EUR)","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Content views","Cost per content view (EUR)",Leads,"Cost per lead (EUR)",Results,"Result indicator","Cost per results","Amount spent (EUR)","Ad set budget","Ad set budget type","Date created","Last significant edit","Campaign name"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  VIDEO_AD_ALESSIA_PASCARELLA_-_LANCIO_2_STORE_N",not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,30,Daily,2025-09-20,2025-09-30T02:13:40+0200,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  VIDEO_AD_BREVE_-_SELFIE_N",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-20,0,"Test LDP"
2025-12-01,2025-12-14,"IG -> DM  - story carousel 1",not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-24,2025-09-24T00:31:43+0200,"LDP | social funnel | DM"
2025-12-01,2025-12-14,"IG -> DM  - upload 1",archived,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-24,0,"LDP | social funnel | DM"
2025-12-01,2025-12-14,"IG -> DM  - upload 2",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-24,2025-09-24T00:31:52+0200,"LDP | social funnel | DM"
2025-12-01,2025-12-14,"IG -> DM  - profile 1",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-24,2025-09-24T00:31:42+0200,"LDP | social funnel | DM"
2025-12-01,2025-12-14,"IG -> DM  - profile 2",not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-24,2025-09-24T00:31:47+0200,"LDP | social funnel | DM"
2025-12-01,2025-12-14,"IG -> DM  - profile 3",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-24,2025-09-24T00:31:48+0200,"LDP | social funnel | DM"
2025-12-01,2025-12-14,"IG -> profile  - REEL 1",not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-24,2025-09-24T00:46:24+0200,"LDP | social funnel | PROFILE VISIT"
2025-12-01,2025-12-14,"IG -> profile  - REEL 2",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-24,2025-09-24T00:46:19+0200,"LDP | social funnel | PROFILE VISIT"
2025-12-01,2025-12-14,"IG -> profile  - REEL 3",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-24,2025-09-24T00:46:23+0200,"LDP | social funnel | PROFILE VISIT"
2025-12-01,2025-12-14,"IG -> profile  - REEL 4",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-24,2025-09-24T00:46:29+0200,"LDP | social funnel | PROFILE VISIT"
2025-12-01,2025-12-14,"IG -> profile  - REEL 5",not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-24,2025-09-24T00:46:27+0200,"LDP | social funnel | PROFILE VISIT"
2025-12-01,2025-12-14,"IG -> profile  - REEL 6",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-24,2025-09-24T00:46:19+0200,"LDP | social funnel | PROFILE VISIT"
2025-12-01,2025-12-14,"IG -> DM  - REEL 2",not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-27,0,"LDP | social funnel | DM"
2025-12-01,2025-12-14,"IG -> DM  - REEL 3",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-27,0,"LDP | social funnel | DM"
2025-12-01,2025-12-14,"IG -> DM  - REEL 1",not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-27,0,"LDP | social funnel | DM"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  HOOK_BRUTTO_BASTARDO_+_BODY_RISPOSTA_COMMENTO_NEGATIVO_1",not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-27,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  BANNED_VARIANT_HOOK_MOLTI_MI_CHIEDONO_BN+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V",archived,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-10-05,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  BOX_DOMANDE - Copia",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,30,Daily,2025-10-15,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: Video_ad_educational",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-10-16,0,"Test LDP"
