"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (EUR)","Unique link clicks","Unique CTR (link click-through rate)","CPC (cost per link click) (EUR)","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Content views","Cost per content view (EUR)",Leads,"Cost per lead (EUR)",Results,"Result indicator","Cost per results","Amount spent (EUR)","Ad set budget","Ad set budget type","Date created","Last significant edit","Campaign name"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: HOOK_NEMMENO_500€SUL_CONTO+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V - Copy",active,150429,95895,1.568685,8.173092,1516,1.580896,0.795259,46219,3505,1960,1253,633,447,5,,,149,8.251477,96,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,12.80697917,1229.47,40,Daily,2025-10-20,2025-10-20T14:01:27+0200,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: HOOK_MOLTI_MI_CHIEDONO_+_VIDEO_ADV_APP_VERDE - Copy",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-10-20,2025-10-20T14:01:17+0200,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  HOOK_BIANCO_E_NERO_MOLTI_MI_CHIEDONO_MARCO_MA_COME_SI_FA_A..._+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V",inactive,93331,71540,1.304599,4.638973,607,0.848476,0.69496,25112,2255,1154,775,371,272,5,,,47,9.211915,35,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,12.37028571,432.96,15,Daily,2025-10-20,2025-11-10T03:28:15+0100,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  HOOK_BRUTTO_BASTARDO_+_BODY_RISPOSTA_COMMENTO_NEGATIVO_1 - Copy",active,99458,65738,1.512945,4.636832,964,1.466427,0.455702,22558,4542,1509,830,464,364,5,,,97,4.75433,65,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,7.09492308,461.17,15,Daily,2025-10-20,2025-10-20T14:01:21+0200,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  VIDEO_AD_ALESSIA_PASCARELLA_-_LANCIO_2_STORE_N - Copy",active,215158,170259,1.26371,4.292473,1619,0.950904,0.539463,51682,8979,4493,3015,1506,1288,5,,,122,7.570164,87,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,10.61563218,923.56,30,Daily,2025-10-20,2025-10-20T14:01:21+0200,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: Video_ad_educational - Copy",active,92677,60045,1.543459,4.981495,389,0.647847,1.123285,18751,3805,1720,1184,715,589,4,,,45,10.259333,29,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,15.91965517,461.67,15,Daily,2025-10-20,2025-11-17T21:09:52+0100,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  BOX_DOMANDE - Copia  pixel",active,81805,44102,1.854905,11.275594,1073,2.432996,0.635262,16154,5948,3148,1124,811,757,4,,,77,11.979221,57,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,16.18245614,922.4,30,Daily,2025-10-20,2025-10-20T14:03:14+0200,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:   HOOK_ALTRO_TIPO_DI_PAZIENTI_+_BODY_1_MEDICO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-09,2025-09-09T02:37:35+0200,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:   HOOK_LA_MIA_SALA_D_ATTESA_+_BODY_1_MEDICO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-09,2025-09-09T02:37:31+0200,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:   HOOK_SITUAZIONE_FINANZIARIA_+_BODY_1_MEDICO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-09,2025-09-09T02:37:29+0200,"Test LDP"
